year,comunidad_autonoma,sexo,medida,value
2009,Región de Murcia,Mujeres,media,17384.95
2009,Región de Murcia,Mujeres,mediana,14140.0
2010,Andalucía,Hombres,cuartil_25,15000.28
2010,Andalucía,Hombres,cuartil_75,28035.21
2010,Andalucía,Hombres,media,23463.96
2010,Andalucía,Hombres,mediana,19328.83
2010,Andalucía,Mujeres,cuartil_25,9967.4
2010,Andalucía,Mujeres,cuartil_75,22617.39
2010,Andalucía,Mujeres,media,17921.33
2010,Andalucía,Mujeres,mediana,14845.01
2010,Aragón,Hombres,cuartil_25,16806.8
2010,Aragón,Hombres,cuartil_75,30260.95
2010,Aragón,Hombres,media,25263.29
2010,Aragón,Hombres,mediana,22129.41
2010,Aragón,Mujeres,cuartil_25,11586.66
2010,Aragón,Mujeres,cuartil_75,23033.22
2010,Aragón,Mujeres,media,18843.25
2010,Aragón,Mujeres,mediana,16412.07
2010,Asturias,Hombres,cuartil_25,16680.81
2010,Asturias,Hombres,cuartil_75,31148.16
2010,Asturias,Hombres,media,25170.79
2010,Asturias,Hombres,mediana,21831.09
2010,Asturias,Mujeres,cuartil_25,11465.37
2010,Asturias,Mujeres,cuartil_75,23519.22
2010,Asturias,Mujeres,media,18786.13
2010,Asturias,Mujeres,mediana,15362.12
2010,Canarias,Hombres,cuartil_25,13055.06
2010,Canarias,Hombres,cuartil_75,25503.84
2010,Canarias,Hombres,media,20986.94
2010,Canarias,Hombres,mediana,16986.2
2010,Canarias,Mujeres,cuartil_25,10263.08
2010,Canarias,Mujeres,cuartil_75,21771.48
2010,Canarias,Mujeres,media,17601.79
2010,Canarias,Mujeres,mediana,14370.7
2010,Cantabria,Hombres,cuartil_25,15973.91
2010,Cantabria,Hombres,cuartil_75,29034.92
2010,Cantabria,Hombres,media,23924.51
2010,Cantabria,Hombres,mediana,20491.2
2010,Cantabria,Mujeres,cuartil_25,10578.72
2010,Cantabria,Mujeres,cuartil_75,22075.96
2010,Cantabria,Mujeres,media,17887.59
2010,Cantabria,Mujeres,mediana,14813.15
2010,Castilla y León,Hombres,cuartil_25,15278.42
2010,Castilla y León,Hombres,cuartil_75,28604.57
2010,Castilla y León,Hombres,media,23640.67
2010,Castilla y León,Hombres,mediana,19553.56
2010,Castilla y León,Mujeres,cuartil_25,10239.1
2010,Castilla y León,Mujeres,cuartil_75,21828.54
2010,Castilla y León,Mujeres,media,17683.88
2010,Castilla y León,Mujeres,mediana,15103.16
2010,Castilla-La Mancha,Hombres,cuartil_25,15304.92
2010,Castilla-La Mancha,Hombres,cuartil_75,25468.7
2010,Castilla-La Mancha,Hombres,media,22292.84
2010,Castilla-La Mancha,Hombres,mediana,18649.8
2010,Castilla-La Mancha,Mujeres,cuartil_25,10193.69
2010,Castilla-La Mancha,Mujeres,cuartil_75,22265.92
2010,Castilla-La Mancha,Mujeres,media,17913.0
